Router,Interface,Transporte(Gbps),IRU,Tier One,Enlace,Lugar,Ruta,Peru,Fecha Activ,Status
ems1941kbg,CEM0/2,0.1,TIWS,Google,TIWS - Google,Miami,Pacifico,Villa Salvador,2014,Ya migro
ppm-cls-vm01,eth0,0.1,Level3,NTT,Level3 - NTT,New York,Pacifico,Villa Salvador,2009,Por migrar
rMPLSVillaSalvadorBR1,Te0/0/0/0,,Level3,NTT,Level3 - NTT,New York ,Pacifico,Villa Salvador ,2009,
rMPLSVillaSalvadorBR1,Te0/0/0/1,,Level3,BBIP,Level3 - BBIP,Miami ,Pacifico,Villa Salvador ,2011,
rMPLSVillaSalvadorBR1,Te0/0/0/2,,Level3,TATA,Level3 - TATA,New York ,Pacifico,Villa Salvador ,2012,
rMPLSVillaSalvadorBR1,Te0/0/0/3,,TIWS ,Google ,TIWS  - Google ,Miami ,Pacifico,Villa Salvador ,Jan-14,
rMPLSVillaSalvadorBR1,Te0/0/0/4,,TIWS ,GTT ,TIWS  - GTT ,Miami ,Pacifico,Villa Salvador ,May-14,
rMPLSVillaSalvadorBR1,Te0/7/0/0,,TIWS,TATA,TIWS - TATA,Miami ,Pacifico,Villa Salvador ,Apr-15,
rMPLSVillaSalvadorBR1,Te0/7/0/1,,TIWS,GTT ,TIWS - GTT ,Miami ,Pacifico,Villa Salvador ,Sep-14,
rMPLSVillaSalvadorBR1,Te0/0/0/5,,Local,NAP_1,Local - NAP_1,GMD,-,Villa Salvador ,,
rMPLSVillaSalvadorBR1,Te0/7/0/7,,Local,NAP_2,Local - NAP_2,GMD,-,Villa Salvador ,,
rMPLSVillaSalvadorBR1,HundredGigE 0/11/0/0,,CORE,Villa,CORE - Villa,,,Villa Salvador ,,
rMPLSVillaSalvadorBR1,Bundle-Ether1 ,,CORE,Villa,CORE - Villa,,,Villa Salvador ,,
rMPLSVillaSalvadorBR1,Te0/7/0/6,,IslaServicios,Polo1 ,IslaServicios - Polo1 ,,,Villa Salvador ,,
rMPLSVillaSalvadorBR1,Bundle-Ether2,,IslaServicios,Villa,IslaServicios - Villa,,,Villa Salvador ,,
rMPLSVillaSalvadorBR1,ServiceApp10,,CGNAT ,Villa,CGNAT  - Villa,,,Villa Salvador ,,
rMPLSVillaSalvadorBR1,ServiceApp20,,CGNAT ,Villa,CGNAT  - Villa,,,Villa Salvador ,,
rMPLSVillaSalvadorBR1,Suscriptor,,CGNAT ,Villa,CGNAT  - Villa,,,Villa Salvador ,,
rMPLSVillaSalvadorBR1,Traslaciones Acumuladas,,CGNAT ,Villa,CGNAT  - Villa,,,Villa Salvador ,,
rMPLSVillaSalvadorBR1,Suscriptor,,CGNAT-Plus,Villa,CGNAT-Plus - Villa,,,Villa Salvador ,,
rMPLSVillaSalvadorBR1,Traslaciones Acumuladas,,CGNAT-Plus,Villa,CGNAT-Plus - Villa,,,Villa Salvador ,,
rMPLSPolo1BR2,Te0/0/0/0,,TIWS,TATA,TIWS - TATA,Miami ,Pacifico,Polo1 ,2010,
rMPLSPolo1BR2,Te0/0/0/1,,TIWS,TINET,TIWS - TINET,Miami ,Atlantico,Polo1 ,2011,
rMPLSPolo1BR2,Te0/0/0/2,,TIWS,TELIASONERA,TIWS - TELIASONERA,Miami ,Pacifico,Polo1 ,Jul-13,
rMPLSPolo1BR2,Te0/0/0/3,,Level3,TELIASONERA,Level3 - TELIASONERA,Los çngeles ,Pacifico,Polo1 ,Aug-13,
rMPLSPolo1BR2,Te0/0/0/4,,Level3,TATA ,Level3 - TATA ,Los çngeles ,Pacifico,Polo1 ,Jun-14,
rMPLSPolo1BR2,Te0/7/0/0,,LANautilus,NTT,LANautilus - NTT,Miami ,Pacifico,Polo1 ,Apr-15,
rMPLSPolo1BR2,Te0/0/0/5,,Local,NAP_1,Local - NAP_1,GMD,-,Polo1 ,,
rMPLSPolo1BR2,Te0/7/0/7,,Local,NAP_2,Local - NAP_2,GMD,-,Polo1 ,,
rMPLSPolo1BR2,HundredGigE 0/11/0/0,,CORE,Polo1 ,CORE - Polo1 ,,,Polo1,,
rMPLSPolo1BR2,Bundle-Ether1 ,,CORE,Polo1 ,CORE - Polo1 ,,,Polo1,,
rMPLSPolo1BR2,Te0/7/0/6,,IslaServicios,VES,IslaServicios - VES,,,Polo1 ,,
rMPLSPolo1BR2,Bundle-Ether2,,IslaServicios,Polo1 ,IslaServicios - Polo1 ,,,Polo1 ,,
rMPLSPolo1BR2,ServiceApp10 ,,CGNAT ,Polo1 ,CGNAT  - Polo1 ,,,Polo1 ,,
rMPLSPolo1BR2,ServiceApp20 ,,CGNAT ,Polo1 ,CGNAT  - Polo1 ,,,Polo1 ,,
rMPLSPolo1BR2,Suscriptor,,CGNAT ,Polo1 ,CGNAT  - Polo1 ,,,Polo1 ,,
rMPLSPolo1BR2,Traslaciones Acumuladas,,CGNAT ,Polo1 ,CGNAT  - Polo1 ,,,Polo1 ,,
rMPLSPolo1BR2,Suscriptor,,CGNAT-Plus,Villa,CGNAT-Plus - Villa,,,Polo1,,
rMPLSPolo1BR2,Traslaciones Acumuladas,,CGNAT-Plus,Villa,CGNAT-Plus - Villa,,,Polo1,,
